Release 6.1.03i - Par G.26
Copyright (c) 1995-2003 Xilinx, Inc.  All rights reserved.

Sun Feb 08 20:40:28 2004


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       cpu4bit_map.ncd
OUTPUT FILE:      cpu4bit_pad.csv
PART TYPE:        xc2s30
SPEED GRADE:      -5
PACKAGE:          cs144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,
A1,,,GND,,,,,,,,,,
A2,,,VCCO,,,0,,,,,3.30,,
A3,,IOB,,UNUSED,,0,,,,,,,
A4,,IOB,,UNUSED,,0,,,,,,,
A5,,IOB,,UNUSED,,0,,,,,,,
A6,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,
A7,,GCLKIOB,GCK2,UNUSED,,(0,1)***,,,,,,,
A8,CTRL_DATA_IN<1>,IOB,,INPUT,LVTTL,(0,1)***,,,,NONE,,,
A9,,,VCCINT,,,,,,,,2.5,,
A10,,IOB,IO_VREF_1,UNUSED,,(0,1)***,,,,,,,
A11,,,TDI,,,,,,,,,,
A12,,,TDO,,,,,,,,,,
A13,,,VCCO,,,0,,,,,3.30,,
B1,,,TMS,,,,,,,,,,
B2,,,VCCO,,,3,,,,,3.30,,
B3,,IOB,,UNUSED,,0,,,,,,,
B4,,IOB,,UNUSED,,0,,,,,,,
B5,,IOB,,UNUSED,,0,,,,,,,
B6,,,VCCINT,,,,,,,,2.5,,
B7,CTRL_DATA_IN<0>,IOB,,INPUT,LVTTL,(0,1)***,,,,NONE,,,
B8,CTRL_DATA_IN<2>,IOB,IO_VREF_1,INPUT,LVTTL,(0,1)***,,,,NONE,,,
B9,,,GND,,,,,,,,,,
B10,,IOB,,UNUSED,,(0,1)***,,,,,,,
B11,,,GND,,,,,,,,,,
B12,,,VCCO,,,1,,,,,3.30,,
B13,,,CCLK,,,,,,,,,,
C1,,IOB,,UNUSED,,(3,7)***,,,,,,,
C2,,IOB,,UNUSED,,(3,7)***,,,,,,,
C3,,,TCK,,,,,,,,,,
C4,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
C5,,,VCCINT,,,,,,,,2.5,,
C6,CTRL_DATA_IN<3>,IOB,,INPUT,LVTTL,0,,,,NONE,,,
C7,,,GND,,,,,,,,,,
C8,CPU_DATA_OUT<2>,IOB,,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
C9,,IOB,,UNUSED,,(0,1)***,,,,,,,
C10,,IOB,IO_WRITE,UNUSED,,(0,1)***,,,,,,,
C11,,IOB,IO_DOUT_BUSY,UNUSED,,(1,2)***,,,,,,,
C12,,IOB,IO_DIN_D0,UNUSED,,(1,2)***,,,,,,,
C13,,IOB,,UNUSED,,(1,2)***,,,,,,,
D1,,IOB,,UNUSED,,(3,7)***,,,,,,,
D2,,IOB,,UNUSED,,(3,7)***,,,,,,,
D3,,IOB,,UNUSED,,(3,7)***,,,,,,,
D4,,IOB,IO_VREF_7,UNUSED,,(3,7)***,,,,,,,
D5,,,GND,,,,,,,,,,
D6,nWE_CPU,IOB,IO_VREF_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,,
D7,,,VCCO,,,0,,,,,3.30,,
