Release 6.1.02i - Par G.25a
Copyright (c) 1995-2003 Xilinx, Inc.  All rights reserved.

Tue Dec 09 22:38:12 2003


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       ctrl4cpu_map.ncd
OUTPUT FILE:      ctrl4cpu_pad.csv
PART TYPE:        xc2s30
SPEED GRADE:      -5
PACKAGE:          cs144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,
A1,,,GND,,,,,,,,,,
A2,,,VCCO,,,0,,,,,3.30,,
A3,,IOB,,UNUSED,,0,,,,,,,
A4,,IOB,,UNUSED,,0,,,,,,,
A5,,IOB,,UNUSED,,0,,,,,,,
A6,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,
A7,,GCLKIOB,GCK2,UNUSED,,(0,1)***,,,,,,,
A8,,IOB,,UNUSED,,(0,1)***,,,,,,,
A9,,,VCCINT,,,,,,,,2.5,,
A10,,IOB,IO_VREF_1,UNUSED,,(0,1)***,,,,,,,
A11,,,TDI,,,,,,,,,,
A12,,,TDO,,,,,,,,,,
A13,,,VCCO,,,0,,,,,3.30,,
B1,,,TMS,,,,,,,,,,
B2,,,VCCO,,,3,,,,,3.30,,
B3,,IOB,,UNUSED,,0,,,,,,,
B4,nWR_RAM,IOB,,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,,
B5,,IOB,,UNUSED,,0,,,,,,,
B6,,,VCCINT,,,,,,,,2.5,,
B7,,IOB,,UNUSED,,(0,1)***,,,,,,,
B8,,IOB,IO_VREF_1,UNUSED,,(0,1)***,,,,,,,
B9,,,GND,,,,,,,,,,
B10,,IOB,,UNUSED,,(0,1)***,,,,,,,
B11,,,GND,,,,,,,,,,
B12,,,VCCO,,,1,,,,,na,,
B13,,,CCLK,,,,,,,,,,
C1,,IOB,,UNUSED,,(3,7)***,,,,,,,
C2,,IOB,,UNUSED,,(3,7)***,,,,,,,
C3,,,TCK,,,,,,,,,,
C4,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
C5,,,VCCINT,,,,,,,,2.5,,
C6,,IOB,,UNUSED,,0,,,,,,,
C7,,,GND,,,,,,,,,,
C8,,IOB,,UNUSED,,(0,1)***,,,,,,,
C9,,IOB,,UNUSED,,(0,1)***,,,,,,,
C10,,IOB,IO_WRITE,UNUSED,,(0,1)***,,,,,,,
C11,,IOB,IO_DOUT_BUSY,UNUSED,,(1,2)***,,,,,,,
C12,,IOB,IO_DIN_D0,UNUSED,,(1,2)***,,,,,,,
C13,,IOB,,UNUSED,,(1,2)***,,,,,,,
D1,,IOB,,UNUSED,,(3,7)***,,,,,,,
D2,,IOB,,UNUSED,,(3,7)***,,,,,,,
D3,,IOB,,UNUSED,,(3,7)***,,,,,,,
D4,,IOB,IO_VREF_7,UNUSED,,(3,7)***,,,,,,,
D5,,,GND,,,,,,,,,,
D6,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
D7,,,VCCO,,,0,,,,,3.30,,
