Release 6.1.03i - Par G.26
Copyright (c) 1995-2003 Xilinx, Inc.  All rights reserved.

Fri Jan 09 23:23:46 2004


INPUT FILE:       cpu8bit_map.ncd
OUTPUT FILE:      cpu8bit_pad.txt
PART TYPE:        xc2s50e
SPEED GRADE:      -7
PACKAGE:          tq144

Pinout by Pin Number:

-----     |-----      |-----    |-----              |-----    |-----      |-----         |-----     |-----    |-----      |-----    |-----  |-----     |
Pin Number|Signal Name|Pin Usage|Pin Name           |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|
P1        |           |         |GND                |         |           |              |          |         |           |         |       |          |
P2        |           |         |TMS                |         |           |              |          |         |           |         |       |          |
P3        |           |IOB      |IO                 |UNUSED   |           |(0,7)***      |          |         |           |         |       |          |
P4        |           |IOB      |IO                 |UNUSED   |           |(0,7)***      |          |         |           |         |       |          |
P5        |           |IOB      |IO_VREF_7          |UNUSED   |           |(0,7)***      |          |         |           |         |       |          |
P6        |           |IOB      |IO                 |UNUSED   |           |(0,7)***      |          |         |           |         |       |          |
P7        |           |IOB      |IO_L27P_Y          |UNUSED   |           |(0,7)***      |          |         |           |         |       |          |
P8        |           |IOB      |IO_L27N_Y          |UNUSED   |           |(0,7)***      |          |         |           |         |       |          |
P9        |           |         |GND                |         |           |              |          |         |           |         |       |          |
P10       |           |IOB      |IO_L26P_YY         |UNUSED   |           |(0,7)***      |          |         |           |         |       |          |
P11       |           |IOB      |IO_L26N_YY         |UNUSED   |           |(0,7)***      |          |         |           |         |       |          |
P12       |           |IOB      |IO_VREF_7_L25P_Y   |UNUSED   |           |(0,7)***      |          |         |           |         |       |          |
P13       |           |IOB      |IO_L25N_Y          |UNUSED   |           |(0,7)***      |          |         |           |         |       |          |
P14       |           |IOB      |IO                 |UNUSED   |           |(0,7)***      |          |         |           |         |       |          |
P15       |IN0_REG<4> |IOB      |IO_IRDY            |INPUT    |LVTTL      |(0,7)***      |          |         |           |NONE     |       |          |
P16       |           |         |GND                |         |           |              |          |         |           |         |       |          |
P17       |           |         |VCCO               |         |           |0             |          |         |           |         |3.30   |          |
P18       |IN1_REG<6> |IOB      |IO_TRDY            |INPUT    |LVTTL      |(0,6)***      |          |         |           |NONE     |       |          |
P19       |           |         |VCCINT             |         |           |              |          |         |           |         |1.8    |          |
P20       |IN0_REG<6> |IOB      |IO                 |INPUT    |LVTTL      |(0,6)***      |          |         |           |NONE     |       |          |
P21       |IN1_REG<5> |IOB      |IO_L24P_Y          |INPUT    |LVTTL      |(0,6)***      |          |         |           |NONE     |       |          |
P22       |IN1_REG<4> |IOB      |IO_VREF_6_L24N_Y   |INPUT    |LVTTL      |(0,6)***      |          |         |           |NONE     |       |          |
P23       |IN0_REG<3> |IOB      |IO_L23P_YY         |INPUT    |LVTTL      |(0,6)***      |          |         |           |NONE     |       |          |
P24       |IN0_REG<2> |IOB      |IO_L23N_YY         |INPUT    |LVTTL      |(0,6)***      |          |         |           |NONE     |       |          |
P25       |           |         |GND                |         |           |              |          |         |           |         |       |          |
P26       |IN0_REG<5> |IOB      |IO_L22P_Y          |INPUT    |LVTTL      |(0,6)***      |          |         |           |NONE     |       |          |
P27       |IN1_REG<2> |IOB      |IO_L22N_Y          |INPUT    |LVTTL      |(0,6)***      |          |         |           |NONE     |       |          |
P28       |IN1_REG<1> |IOB      |IO                 |INPUT    |LVTTL      |(0,6)***      |          |         |           |NONE     |       |          |
P29       |IN0_REG<7> |IOB      |IO_VREF_6          |INPUT    |LVTTL      |(0,6)***      |          |         |           |NONE     |       |          |
P30       |IN0_REG<0> |IOB      |IO                 |INPUT    |LVTTL      |(0,6)***      |          |         |           |NONE     |       |          |
P31       |           |IOB      |IO_L21P_YY         |UNUSED   |           |(0,6)***      |          |         |           |         |       |          |
P32       |IN1_REG<7> |IOB      |IO_L21N_YY         |INPUT    |LVTTL      |(0,6)***      |          |         |           |NONE     |       |          |
P33       |           |         |M1                 |         |           |              |          |         |           |         |       |          |
P34       |           |         |GND                |         |           |              |          |         |           |         |       |          |
P35       |           |         |M0                 |         |           |              |          |         |           |         |       |          |
P36       |           |         |VCCO               |         |           |0             |          |         |           |         |3.30   |          |
P37       |           |         |M2                 |         |           |              |          |         |           |         |       |          |
P38       |OUT1_REG<6>|IOB      |IO_L20N_YY         |OUTPUT   |LVTTL      |(0,5)***      |12        |SLOW     |NONE**     |         |       |          |
P39       |OUT1_REG<4>|IOB      |IO_L20P_YY         |OUTPUT   |LVTTL      |(0,5)***      |12        |SLOW     |NONE**     |         |       |          |
P40       |IN1_REG<0> |IOB      |IO                 |INPUT    |LVTTL      |(0,5)***      |          |         |           |NONE     |       |          |
P41       |IN0_REG<1> |IOB      |IO_VREF_5          |INPUT    |LVTTL      |(0,5)***      |          |         |           |NONE     |       |          |
P42       |IN1_REG<3> |IOB      |IO                 |INPUT    |LVTTL      |(0,5)***      |          |         |           |NONE     |       |          |
